CARTERA;COLOC_TOTAL;CART_VENCIDA;INS_COD;PERIODO;INDICADOR_CARTERA_VENCIDA
TOTAL:;4657045,0000000000;4880,00000000;55;202306;1,04787477896391e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;4657045,0000000000;4880,00000000;55;202306;1,04787477896391e-01
Colocaciones a personas - subtotal:;1506649,0000000000;383,00000000;55;202306;2,54206520563184e-02
Adeudado por bancos;0,0000000000;0,00000000;59;202306;NA
Colocaciones comerciales;1645665,0000000000;12042,00000000;59;202306;7,31740664108430e-01
Colocaciones para vivienda;0,0000000000;0,00000000;59;202306;NA
Colocaciones de consumo;0,0000000000;0,00000000;59;202306;NA
TOTAL:;1645665,0000000000;12042,00000000;59;202306;7,31740664108430e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1645665,0000000000;12042,00000000;59;202306;7,31740664108430e-01
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;59;202306;NA
Adeudado por bancos;0,0000000000;0,00000000;60;202306;NA
Colocaciones comerciales;209130,0000000000;4071,00000000;60;202306;1,94663606369244e+00
Colocaciones para vivienda;0,0000000000;0,00000000;60;202306;NA
Colocaciones de consumo;0,0000000000;0,00000000;60;202306;NA
TOTAL:;209130,0000000000;4071,00000000;60;202306;1,94663606369244e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;209130,0000000000;4071,00000000;60;202306;1,94663606369244e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;60;202306;NA
Adeudado por bancos;NA;NA;61;202306;NA
Colocaciones comerciales;8060,0000000000;0,00000000;61;202306;0,00000000000000e+00
Colocaciones para vivienda;NA;NA;61;202306;NA
Colocaciones de consumo;NA;NA;61;202306;NA
TOTAL:;8060,0000000000;0,00000000;61;202306;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;8060,0000000000;0,00000000;61;202306;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;61;202306;NA
Adeudado por bancos;224841,0000000000;0,00000000;1;202307;0,00000000000000e+00
Colocaciones comerciales;19669670,0000000000;166735,00000000;1;202307;8,47675634619188e-01
Colocaciones para vivienda;11884556,0000000000;78449,00000000;1;202307;6,60091971462796e-01
Colocaciones de consumo;5140115,0000000000;38381,00000000;1;202307;7,46695356037754e-01
TOTAL:;36919182,0000000000;283565,00000000;1;202307;7,68069563404736e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;36694341,0000000000;283565,00000000;1;202307;7,72775834835132e-01
Colocaciones a personas - subtotal:;17024671,0000000000;116830,00000000;1;202307;6,86239399281196e-01
Adeudado por bancos;0,0000000000;0,00000000;9;202307;NA
Colocaciones comerciales;2938290,0000000000;13901,00000000;9;202307;4,73098298670315e-01
Colocaciones para vivienda;83907,0000000000;71,00000000;9;202307;8,46174931769697e-02
